File name,Description
Retail.TransactionalInvoicing.pdf,"This file contains PDF copies of invoices, if available."
Sustainability.Value.Metrics.csv,"This file contains sustainability-related metrics associated with your account, including parcel size, Climate Pledge Friendly, and delivery experience values."
Buy With Prime Orders.csv,"This file contains information about orders placed with Buy with Prime, such as the order identifier, the date and time the order was placed, shipment and tracking identifiers, return tracking information (if applicable), and product quantities."
Cart History.csv,"This file contains information related to the customer cart, such as the date, time and ASIN of an item added to your cart, item quantity, whether the item needs to be gift wrapped, whether the item is part of a Prime subscription, and if the one-click buy feature was used."
Communication Preferences.csv,This file contains the customer preferred phone number for Amazon Physical Stores such as Whole Foods.
Delivery Photos.csv,"This file contains proof of delivery photos taken when your orders were delivered, including JPEG image files and associated metadata showing delivery locations and timestamps."
Digital Borrowed Items.csv,"This file contains information about digital content you borrowed, including ASINs, titles, authors, content types (e-books, e-magazines), loan creation dates, loan status (borrowed, returned, expired), loan programs (Comixology, Kindle, and Public Library), return dates, email addresses if provided, and indicators for repeat loans."
Digital Content Orders.csv,"This file contains detailed information about digital orders, including order date, ASIN, Title, order identifier, quantity ordered, order fulfillment date, price, seller name (for example, Amazon or Audible), whether it's a gift item, gift messages, billing and shipping address information, monetary transaction details including amounts and taxes paid, promotional discounts, and payment information such as foreign exchange rates and gift card usage."
Digital Returns.csv,"This file contains transaction details of digital order returns and refunds, including Delivery packet identifier, order identifier, ASIN, Title, return status, return date, refund amount, condition (for example, unused or not downloaded), quantity, digital item identifier, price amount, tax, information on whether the return was initiated by Amazon or you, whether an email was sent to the customer, and any foreign currency exchange data if applicable."
Monthly Payment Balance.csv,"This file contains installment transaction details including currency, date created, execution date, transaction amount, and transaction type."
Monthly Payment Plans.csv,"This file contains monthly payment plan information including installment transaction details such as the amount of the installment, payment received, installment creation date, payment received date, payment status for each enrolled ASIN, total sale value including tax and shipping cost, promotional discounts, down payment amount, monthly invoice creation information, and payment method details."
Order History.csv,"This file contains information about the retail orders you placed, such as the website used to place the order, order identifier, order date, ASIN, Product name, quantity, price, product condition (New or Used), payment method (for example, credit card issuer name and last 4 digits of credit card), order status (for example, authorized, cancelled, or closed), ship date and option (for example, standard 2-day or next-day), shipping and billing address, carrier name and tracking number, if available, and if applicable, gift message, sender name, and receiver contact details."
Refund Details.csv,"This file contains retail order return and refund information including order and return order identifiers, return creation date, website used for the return, quantity returned, return status (for example, completed or cancelled), return reason, return amount status, direct debit amount if applicable, refund completion date, amount refunded, refund status, and disbursement type (for example, refund or disbursement)."
Replacement Orders.csv,This file contains the original order ID and the replacement order ID if a courtesy replacement order was placed.
Returns Status.csv,"This file contains information about order returns including order identifier, date of return, return amount, return reason, resolution (for example, exchange or refund), return tracking information, return receivable details including tracking identifier and initiation date, return receivable creation reason (for example, instant refund or advanced refund), return state, and retrocharge information for returns in progress with resolutions such as advanced refunds or replacement orders."
