Plan name:,META PLATFORMS
Date Range,01/01/2026 - 05/10/2026,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
05/08/2026,VANGUARD TARGET 2060,Transfer,"0.00","0.000"
05/08/2026,VANGUARD TARGET 2060,Loan Repayments,"257.08","1.605"
05/08/2026,VANGUARD TARGET 2060,Contributions,"2,332.84","14.567"
04/24/2026,VANGUARD TARGET 2060,Transfer,"0.00","0.000"
04/24/2026,VANGUARD TARGET 2060,Loan Repayments,"257.08","1.651"
04/24/2026,VANGUARD TARGET 2060,Contributions,"2,332.84","14.988"
04/10/2026,VANGUARD TARGET 2060,Transfer,"0.00","0.000"
04/10/2026,VANGUARD TARGET 2060,Loan Repayments,"257.08","1.706"
04/10/2026,VANGUARD TARGET 2060,Contributions,"2,332.84","15.479"
03/27/2026,VANGUARD TARGET 2060,Transfer,"0.00","0.000"
03/27/2026,VANGUARD TARGET 2060,Loan Repayments,"257.08","1.825"
03/27/2026,VANGUARD TARGET 2060,Contributions,"2,332.84","16.565"
03/13/2026,VANGUARD TARGET 2060,Transfer,"0.00","0.000"
03/13/2026,VANGUARD TARGET 2060,Loan Repayments,"257.08","1.771"
03/13/2026,VANGUARD TARGET 2060,Contributions,"2,332.84","16.069"
02/27/2026,VANGUARD TARGET 2060,Transfer,"0.00","0.000"
02/27/2026,VANGUARD TARGET 2060,Loan Repayments,"257.08","1.676"
02/27/2026,VANGUARD TARGET 2060,Contributions,"2,279.05","14.854"
02/13/2026,VANGUARD TARGET 2060,Transfer,"0.00","0.000"
02/13/2026,VANGUARD TARGET 2060,Loan Repayments,"257.08","1.695"
02/13/2026,VANGUARD TARGET 2060,Contributions,"2,279.05","15.025"
01/30/2026,VANGUARD TARGET 2060,Transfer,"0.00","0.000"
01/30/2026,VANGUARD TARGET 2060,Loan Repayments,"257.08","1.707"
01/30/2026,VANGUARD TARGET 2060,Contributions,"2,279.05","15.129"
01/16/2026,VANGUARD TARGET 2060,Transfer,"0.00","0.000"
01/16/2026,VANGUARD TARGET 2060,Loan Repayments,"257.08","1.713"
01/16/2026,VANGUARD TARGET 2060,Contributions,"2,279.05","15.183"
01/02/2026,VANGUARD TARGET 2060,Transfer,"0.00","0.000"
01/02/2026,VANGUARD TARGET 2060,Loan Repayments,"257.08","1.746"
01/02/2026,VANGUARD TARGET 2060,Contributions,"2,279.05","15.483"
